sale_date,customer_id,order_number,zip_code,item_category,quant_items_per_order,order_total
01/01,101091,1010911,78956,Clothing,1,65.99
01/03,102537,1025371,23456,Clothing,2,129.99
01/05,112329,1123291,12558,Clothing,2,65.99
01/05,843290,8432902,67890,Clothing,2,89.99
01/07,123767,1237671,74523,Clothing,1,65.99
01/09,144496,1444961,89563,Clothing,3,89.99
01/11,162835,1628351,21098,Clothing,3,149.99
01/11,874529,8745291,87654,Clothing,3,69.99
01/13,180369,1803691,21098,Clothing,1,49.99
01/15,197528,1975281,56789,Clothing,2,139.99
01/17,231822,2318221,14785,Clothing,2,109.99
01/17,947433,9474331,32514,Clothing,4,109.99
01/19,233518,2335181,43210,Clothing,1,39.99
01/21,238194,2381941,89012,Clothing,2,79.99
01/21,981477,9814771,98765,Clothing,4,129.99
01/23,278655,2786551,36985,Clothing,4,95.99
01/25,291085,2910851,45678,Clothing,1,59.99
01/27,293728,2937281,78945,Clothing,2,89.99
01/29,294381,2943811,21098,Clothing,1,49.99
01/31,309877,3098771,78533,Clothing,2,95.99
02/01,786415,7864151,43210,Clothing,1,59.99
02/02,309877,3098771,56328,Clothing,3,109.99
02/04,315290,3152901,54321,Clothing,2,79.99
02/06,316211,3162111,74521,Clothing,3,115.99
02/07,847433,8474331,36523,Clothing,1,119.99
02/08,319733,3197331,56986,Clothing,2,75.99
02/10,348105,3481051,52147,Clothing,2,65.99
02/12,349218,3492181,98765,Clothing,1,69.99
02/13,898753,8987531,45678,Clothing,2,59.99
02/14,363608,3636081,45128,Clothing,2,95.99
02/16,389215,3892151,34567,Clothing,1,39.99
02/18,458901,4589011,56789,Clothing,3,89.99
02/19,956218,9562181,34567,Clothing,2,59.99
02/20,460443,4604431,58963,Clothing,2,65.99
02/22,463044,4630441,54125,Clothing,2,119.99
02/24,475012,4750121,78901,Clothing,2,69.99
02/25,987539,9875391,12547,Clothing,3,75.99
02/26,509641,5096411,54321,Clothing,1,39.99
02/28,512840,5128401,67890,Clothing,2,89.99
03/02,542335,5423351,36254,Clothing,3,75.99
03/03,843290,8432901,67890,Clothing,2,89.99
03/04,567812,5678121,12345,Clothing,1,49.99
03/06,574512,5745121,45789,Clothing,3,100.99
03/08,574616,5746161,45127,Clothing,3,89.99
03/09,863044,8630441,14256,Clothing,3,100.99
03/10,597131,5971311,14587,Clothing,2,75.99
03/12,621948,6219481,45678,Clothing,2,49.99
03/14,625430,6254301,87654,Clothing,2,49.99
03/15,936125,9361251,78901,Clothing,4,149.99
03/16,651927,6519271,67890,Clothing,3,69.99
03/18,674512,6745121,45125,Clothing,3,95.99
03/20,694266,6942661,78542,Clothing,3,95.99
03/21,971542,9715421,23456,Clothing,3,129.99
03/22,694266,6942661,25478,Clothing,3,109.99
03/24,731952,7319521,89012,Clothing,2,79.99
03/26,764937,7649371,14587,Clothing,2,75.99
03/28,778655,7786551,96532,Clothing,2,115.99
03/30,785139,7851391,89012,Clothing,2,69.99
